symbol,legal_name,cik,figi,exchange_mic,security_type,share_class,currency,domicile,sic,source_classification,mapped_sector,primary_liquid_class
DVN,DEVON ENERGY CORP/DE,0001090012,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
DXCM,DEXCOM INC,0001093557,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
EBAY,EBAY INC,0001065088,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
ECHO,EchoStar CORP,0001415404,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Communication Services,,true
ECL,ECOLAB INC.,0000031462,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
ED,CONSOLIDATED EDISON INC,0001047862,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
EFX,EQUIFAX INC,0000033185,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
EG,"EVEREST GROUP, LTD.",0001095073,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
EIX,EDISON INTERNATIONAL,0000827052,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
EL,ESTEE LAUDER COMPANIES INC,0001001250,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
ELV,"Elevance Health, Inc.",0001156039,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
EME,"EMCOR Group, Inc.",0000105634,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
EMR,EMERSON ELECTRIC CO,0000032604,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
EOG,EOG RESOURCES INC,0000821189,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
EQIX,EQUINIX INC,0001101239,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
EQT,EQT Corp,0000033213,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
ERIE,ERIE INDEMNITY CO,0000922621,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
ES,EVERSOURCE ENERGY,0000072741,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
ESS,"ESSEX PROPERTY TRUST, INC.",0000920522,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
ETN,Eaton Corp plc,0001551182,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
ETR,ENTERGY CORP /DE/,0000065984,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
EVRG,"Evergy, Inc.",0001711269,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
EW,Edwards Lifesciences Corp,0001099800,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
EXC,EXELON CORP,0001109357,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
EXE,EXPAND ENERGY Corp,0000895126,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,0000746515,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
EXPE,"Expedia Group, Inc.",0001324424,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
EXR,Extra Space Storage Inc.,0001289490,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
F,FORD MOTOR CO,0000037996,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
FANG,"Diamondback Energy, Inc.",0001539838,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
FAST,FASTENAL CO,0000815556,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
FCX,FREEPORT-MCMORAN INC,0000831259,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
FDS,FACTSET RESEARCH SYSTEMS INC,0001013237,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
FDX,FEDEX CORP,0001048911,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
FDXF,FedEx Freight,0002082247,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
FE,FIRSTENERGY CORP,0001031296,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
FERG,Ferguson Enterprises Inc. /DE/,0002011641,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
FFIV,"F5, INC.",0001048695,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
FICO,FAIR ISAAC CORP,0000814547,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
FIS,"Fidelity National Information Services, Inc.",0001136893,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
FISV,FISERV INC,0000798354,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
FITB,FIFTH THIRD BANCORP,0000035527,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
FIX,COMFORT SYSTEMS USA INC,0001035983,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
FLEX,FLEX LTD.,0000866374,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
FOX,Fox Corp,0001754301,,XNAS,COMMON_STOCK,CLASS_B,USD,,,Communication Services,,false
FOXA,Fox Corp,0001754301,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Communication Services,,true
FRT,FEDERAL REALTY INVESTMENT TRUST,0000034903,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
FSLR,"FIRST SOLAR, INC.",0001274494,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
FTNT,"Fortinet, Inc.",0001262039,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
FTV,Fortive Corp,0001659166,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
GD,GENERAL DYNAMICS CORP,0000040533,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
GDDY,GoDaddy Inc.,0001609711,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
